lesson,type,definition,word,audio,kana,kanji
3,[动1],有，在(非意志者),あります,"[73.933, 74.762]",あります,あります
3,[动2],有，在(具意志者),います,"[75.593, 76.429]",います,います
104,[动1],休息,やすみます(休みます),"[71.098, 72.268]",やすみます,休みます
104,[动1],工作,はたらきます(働きます),"[73.034, 74.406]",はたらきます,働きます
104,[动1],开始,はじまります(始まります),"[74.976, 76.233]",はじまります,始まります
104,[动1],结束,おわります(終わります),"[76.827, 78.078]",おわります,終わります
104,[动2],起床,おきます(起きます),"[78.67, 79.714]",おきます,起きます
104,[动2],睡觉,ねます(寝ます),"[80.451, 81.378]",ねます,寝ます
104,[动3],学习,べんきょうします(勉強します),"[82.08, 83.67]",べんきょうします,勉強します
105,[动1],去,いきます(行きます),"[39.957, 40.899]",いきます,行きます
105,[动1],回来，回去,かえります(帰ります),"[42.052, 43.019]",かえります,帰ります
105,[动3],来,きます(来ます),"[43.951, 44.698]",きます,来ます
106,[动1],喝,のみます(飲みます),"[48.829, 49.778]",のみます,飲みます
106,[动1],买,かいます(買います),"[50.556, 51.404]",かいます,買います
106,[动1],拍照，拍摄,とります(撮ります),"[51.949, 52.891]",とります,撮ります
106,[动1],写,かきます(書きます),"[53.471, 54.419]",かきます,書きます
106,[动1],读,よみます(読みます),"[55.177, 56.098]",よみます,読みます
106,[动1],听,ききます(聞きます),"[56.673, 57.629]",ききます,聞きます
106,[动2],吃,たべます(食べます),"[58.139, 59.148]",たべます,食べます
106,[动2],看,みます(見ます),"[59.563, 60.317]",みます,見ます
106,[动3],干，做,します,"[60.948, 61.812]",します,します
106,[动3],打扫，扫除,そうじします(掃除します),"[62.682, 63.872]",そうじします,掃除します
107,[动1],拿到，得到,もらいます,"[53.548, 54.518]",もらいます,もらいます
107,[动1],见,あいます(会います),"[55.115, 55.916]",あいます,会います
107,[动1],寄,おくります(送ります),"[56.421, 57.508]",おくります,送ります
107,[动1],做，制造,つくります(作ります),"[58.031, 59.015]",つくります,作ります
107,[动1],胖,ふとります(太ります),"[59.555, 60.689]",ふとります,太ります
107,[动1],寄(信),だします(出します),"[61.179, 62.215]",だします,出します
107,[动1],收到，送到，寄到,とどきます(届きます),"[62.81, 63.925]",とどきます,届きます
107,[动1],画,かきます,"[64.51, 65.513]",かきます,かきます
107,[动1],借出，借给,かします(貸します),"[66.375, 67.322]",かします,貸します
107,[动1],学习,ならいます(習います),"[68.013, 69.199]",ならいます,習います
107,[动2],给,あげます,"[69.914, 70.818]",あげます,あげます
107,[动2],打(电话),かけます,"[71.483, 72.466]",かけます,かけます
107,[动2],(向别人)借,かります(借ります),"[73.145, 74.221]",かります,借ります
107,[动2],教,おしえます(教えます),"[74.753, 75.885]",おしえます,教えます
210,[动1],懂，明白,わかります(分かります),"[54.38, 55.412]",わかります,分かります
210,[动1],犹豫，难以决定,まよいます(迷います),"[56.347, 57.402]",まよいます,迷います
210,[动2],会；能；完成,できます,"[57.884, 58.739]",できます,できます
210,[动2],关闭，关门,しめます(閉めます),"[59.256, 60.249]",しめます,閉めます
210,[动2],疲倦，疲惫,つかれます(疲れます),"[60.854, 61.935]",つかれます,疲れます
210,[动3],散步,さんぽします(散歩します),"[62.492, 63.845]",さんぽします,散歩します
211,[动1],下(雨，雪)，降(雨，雪),ふります(降ります),"[35.678, 36.55]",ふります,降ります
312,[动1],花费(时间，金钱),かかります,"[30.738, 31.715]",かかります,かかります
312,[动1],花开,さきます(咲きます),"[32.285, 33.306]",さきます,咲きます
312,[动1],游泳,およぎます(泳ぎます),"[34.223, 35.225]",およぎます,泳ぎます
312,[动1],玩，玩耍,あそびます(遊びます),"[35.719, 36.764]",あそびます,遊びます
312,[动1],吸(烟),すいます(吸います),"[37.358, 38.373]",すいます,吸います
312,[动1],剪，切，割,きります(切ります),"[38.821, 39.687]",きります,切ります
313,[动1],通过，经过,とおります(通ります),"[31.613, 32.703]",とおります,通ります
313,[动1],急，匆忙,いそぎます(急ぎます),"[33.368, 34.392]",いそぎます,急ぎます
313,[动1],飞，飞行,とびます(飛びます),"[34.824, 35.718]",とびます,飛びます
313,[动1],死，死亡,しにます(死にます),"[36.15, 37.153]",しにます,死にます
313,[动1],等待，等候,まちます(待ちます),"[37.709, 38.717]",まちます,待ちます
313,[动1],卖，销售,うります(売ります),"[39.197, 40.139]",うります,売ります
313,[动1],说话，说,はなします(話します),"[40.631, 41.767]",はなします,話します
313,[动1],过(桥，河)，穿过(马路),わたります(渡ります),"[42.242, 43.354]",わたります,渡ります
313,[动1],取，卸货,おろします(下ろします),"[44.426, 45.475]",おろします,下ろします
313,[动1],挑选，选择,えらびます(選びます),"[46.097, 47.183]",えらびます,選びます
313,[动1],关(灯)，消除，去除,けします(消します),"[47.844, 48.816]",けします,消します
313,[动1],步行，行走,あるきます(歩きます),"[49.539, 50.612]",あるきます,歩きます
313,[动1],拐弯，曲折,まがります(曲がります),"[51.416, 52.452]",まがります,曲がります
313,[动1],洗，洗涤,あらいます(洗います),"[53.125, 54.207]",あらいます,洗います
313,[动2],离开,でます(出ます),"[54.756, 55.53]",でます,出ます
313,[动2],外出，出门,でかけます(出かけます),"[56.273, 57.426]",でかけます,出かけます
313,[动2],开，打开，开启,あけます(開けます),"[58.076, 58.962]",あけます,開けます
313,[动2],过,すぎます(過ぎます),"[59.622, 60.684]",すぎます,過ぎます
313,[动2],给……看；出示,みせます(見せます),"[61.326, 62.21]",みせます,見せます
313,[动2],开(灯),つけます,"[62.969, 63.957]",つけます,つけます
313,[动2],下(车，山),おります(降ります),"[64.676, 65.514]",おります,降ります
313,[动3],买东西,かいものします(買い物します),"[66.373, 67.769]",かいものします,買い物します
313,[动3],毕业,そつぎょうします(卒業します),"[68.346, 69.853]",そつぎょうします,卒業します
313,[动3],吃饭，用餐,しょくじします(食事します),"[70.439, 71.744]",しょくじします,食事します
313,[动3],整理,せいりします(整理します),"[72.897, 74.104]",せいりします,整理します
313,[动3],复印,コピーします,"[74.804, 76.095]",コピーします,コピーします
314,[动1],乘坐，乘,のります(乗ります),"[34.69, 35.624]",のります,乗ります
314,[动1],用，使用,つかいます(使います),"[36.033, 37.087]",つかいます,使います
314,[动1],坐，落座,すわります(座ります),"[37.379, 38.525]",すわります,座ります
314,[动1],进入，加入,はいります(入ります),"[39.073, 40.167]",はいります,入ります
314,[动1],是，说，讲，告诉,もうします(申します),"[40.613, 41.676]",もうします,申します
314,[动1],取，取得,とります,"[42.124, 43.001]",とります,とります
314,[动1],唱，歌唱,うたいます(歌います),"[43.456, 44.514]",うたいます,歌います
314,[动2],说，传达，转告,つたえます(伝えます),"[44.957, 46.048]",つたえます,伝えます
314,[动2],停，制止,とめます(止めます),"[46.475, 47.511]",とめます,止めます
315,[动1],有，拥有，持有,もちます(持ちます),"[65.334, 66.254]",もちます,持ちます
315,[动1],住，居住,すみます(住みます),"[66.838, 67.847]",すみます,住みます
315,[动1],认识，知道，了解,しります(知ります),"[68.461, 69.409]",しります,知ります
315,[动1],改，修改，改正,なおします(直します),"[70.084, 71.184]",なおします,直します
315,[动2],收拾，整理,かたづけます(片づけます),"[71.859, 73.103]",かたづけます,片づけます
315,[动3],练习,れんしゅうします(練習します),"[73.953, 75.416]",れんしゅうします,練習します
315,[动3],结婚,けっこんします(結婚します),"[76.2, 77.752]",けっこんします,結婚します
315,[动3],安心，放心,あんしんします(安心します),"[78.201, 79.622]",あんしんします,安心します
416,[动2],开始,はじめます(始めます),"[28.268, 29.305]",はじめます,始めます
416,[动3],联系,れんらくします(連絡します),"[29.892, 31.193]",れんらくします,連絡します
417,[动1],变，当，变成，成为,なります,"[47.584, 48.529]",なります,なります
417,[动1],开,あきます(開きます),"[49.105, 50.016]",あきます,開きます
417,[动1],适合，相称,にあいます(似合います),"[50.63, 51.683]",にあいます,似合います
418,[动1],触，碰,さわります(触ります),"[24.026, 25.074]",さわります,触ります
418,[动1],脱,ぬぎます(脱ぎます),"[25.621, 26.692]",ぬぎます,脱ぎます
418,[动1],摔，摔倒，跌倒,ころびます(転びます),"[27.237, 28.248]",ころびます,転びます
418,[动1],渴,かわきます(渇きます),"[28.782, 29.912]",かわきます,渇きます
418,[动1],痊愈，医好,なおります(治ります),"[30.445, 31.529]",なおります,治ります
418,[动1],滑，滑行,すべります(滑ります),"[31.947, 33.112]",すべります,滑ります
418,[动1],呼喊,よびます(呼びます),"[33.481, 34.427]",よびます,呼びます
418,[动1],归还,かえします(返します),"[34.99, 36.123]",かえします,返します
418,[动1],帮忙,てつだいます(手伝います),"[36.758, 38.012]",てつだいます,手伝います
418,[动1],搬运,はこびます(運びます),"[38.386, 39.445]",はこびます,運びます
418,[动1],丢，丢失,なくします,"[40.173, 41.36]",なくします,なくします
418,[动1],掉，使落下,おとします(落とします),"[41.715, 42.733]",おとします,落とします
418,[动1],放置,おきます(置きます),"[43.511, 44.435]",おきます,置きます
418,[动1],支付,はらいます(払います),"[45.049, 46.157]",はらいます,払います
418,[动1],站，立,たちます(立ちます),"[47.582, 48.451]",たちます,立ちます
418,[动2],忘记,わすれます(忘れます),"[49.014, 50.159]",わすれます,忘れます
418,[动2],惊慌，慌张，着急,あわてます(慌てます),"[50.549, 51.618]",あわてます,慌てます
418,[动2],扔，扔掉,すてます(捨てます),"[52.031, 53.027]",すてます,捨てます
418,[动3],加班,ざんぎょうします(残業します),"[53.953, 55.435]",ざんぎょうします,残業します
418,[动3],担心,しんぱいします(心配します),"[55.891, 57.368]",しんぱいします,心配します
419,[动1],弹,ひきます(弾きます),"[51.223, 52.114]",ひきます,弾きます
419,[动1],(肚子)饿，空,すきます,"[52.645, 53.606]",すきます,すきます
419,[动1],登，上,のぼります(登ります),"[54.588, 55.6]",のぼります,登ります
419,[动2],收集,あつめます(集めます),"[56.12, 57.183]",あつめます,集めます
419,[动2],淋；浇,あびます(浴びます),"[58.021, 58.899]",あびます,浴びます
419,[动3],请客，摆盛宴,ごちそうします,"[59.625, 61.028]",ごちそうします,ごちそうします
419,[动3],回国,きこくします(帰国します),"[62.335, 63.619]",きこくします,帰国します
520,[动1],交给,わたします(渡します),"[21.249, 22.315]",わたします,渡します
520,[动2],迟到,おくれます　(遅れます),"[23.021, 24.083]",おくれます　,遅れます
520,[动2],考虑,かんがえます(考えます),"[24.465, 25.608]",かんがえます,考えます
520,[动2],调查,しらべます(調べます),"[26.209, 27.373]",しらべます,調べます
520,[动2],穿,きます(着ます),"[27.817, 28.637]",きます,着ます
520,[动3],预约，预定,よやくします(予約します),"[29.449, 30.761]",よやくします,予約します
520,[动3],感谢,かんしゃします(感謝します),"[31.954, 33.156]",かんしゃします,感謝します
520,[动3],运动,うんどうします(運動します),"[33.801, 35.197]",うんどうします,運動します
520,[动3],洗涤，洗,せんたくします(洗濯します),"[35.54, 36.9]",せんたくします,洗濯します
520,[动3],报告,ほうこくします(報告します),"[37.718, 39.057]",ほうこくします,報告します
521,[动1],做,やります,"[25.354, 26.323]",やります,やります
522,[动1],不同，不一样,ちがいます(違います),"[15.33, 16.375]",ちがいます,違います
522,[动1],拥挤，混杂,こみます(込みます),"[16.746, 17.601]",こみます,込みます
522,[动1],定，决定,きまります(決まります),"[18.1, 19.138]",きまります,決まります
522,[动2],告诉,しらせます(知らせます),"[19.43, 20.459]",しらせます,知らせます
522,[动2],查(看)，弄清,たしかめます(確かめます),"[21.146, 22.325]",たしかめます,確かめます
523,[动1],想，思考,おもいます(思います),"[10.971, 12.062]",おもいます,思います
523,[动1],说，讲,いいます(言います),"[12.681, 13.622]",いいます,言います
523,[动1],找，寻找，寻求,さがします(探します),"[13.941, 15.136]",さがします,探します
523,[动1],笑,わらいます(笑います),"[15.668, 16.695]",わらいます,笑います
523,[动2],戒，停止，放弃,やめます,"[17.11, 18.075]",やめます,やめます
523,[动2],决定,きめます(決めます),"[18.638, 19.561]",きめます,決めます
523,[动3],睡懒觉,ねぼうします(寝坊します),"[20.087, 21.448]",ねぼうします,寝坊します
523,[动3],外出，出去,がいしゅつします(外出します),"[22.576, 24.117]",がいしゅつします,外出します
